moi.	172800	in	soa	dns1.nic.moi. hostmaster.nominet.org.uk. 1759316510 900 300 2419200 60
alexagadgets.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
alexagadgets.moi.	172800	in	ns	nssui.comlaude.ch.
alexagadgets.moi.	172800	in	ns	nsusa.comlaude.net.
amazon-tld.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazon-tld.moi.	172800	in	ns	nssui.comlaude.ch.
amazon-tld.moi.	172800	in	ns	nsusa.comlaude.net.
amazon-tlds.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazon-tlds.moi.	172800	in	ns	nssui.comlaude.ch.
amazon-tlds.moi.	172800	in	ns	nsusa.comlaude.net.
amazon.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazon.moi.	172800	in	ns	nssui.comlaude.ch.
amazon.moi.	172800	in	ns	nsusa.comlaude.net.
amazonalexa.moi.	172800	in	ns	dns1.comlaude-dns.com.
amazonalexa.moi.	172800	in	ns	dns2.comlaude-dns.net.
amazonalexa.moi.	172800	in	ns	dns3.comlaude-dns.co.uk.
amazonalexa.moi.	172800	in	ns	dns4.comlaude-dns.eu.
amazonauto.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonauto.moi.	172800	in	ns	nssui.comlaude.ch.
amazonauto.moi.	172800	in	ns	nsusa.comlaude.net.
amazonaws.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonaws.moi.	172800	in	ns	nssui.comlaude.ch.
amazonaws.moi.	172800	in	ns	nsusa.comlaude.net.
amazonbeaute.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonbeaute.moi.	172800	in	ns	nssui.comlaude.ch.
amazonbeaute.moi.	172800	in	ns	nsusa.comlaude.net.
amazonbeauty.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonbeauty.moi.	172800	in	ns	nssui.comlaude.ch.
amazonbeauty.moi.	172800	in	ns	nsusa.comlaude.net.
amazonbook.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonbook.moi.	172800	in	ns	nssui.comlaude.ch.
amazonbook.moi.	172800	in	ns	nsusa.comlaude.net.
amazonbooks.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonbooks.moi.	172800	in	ns	nssui.comlaude.ch.
amazonbooks.moi.	172800	in	ns	nsusa.comlaude.net.
amazonboutique.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonboutique.moi.	172800	in	ns	nssui.comlaude.ch.
amazonboutique.moi.	172800	in	ns	nsusa.comlaude.net.
amazonbuyvip.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonbuyvip.moi.	172800	in	ns	nssui.comlaude.ch.
amazonbuyvip.moi.	172800	in	ns	nsusa.comlaude.net.
amazoncash.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoncash.moi.	172800	in	ns	nssui.comlaude.ch.
amazoncash.moi.	172800	in	ns	nsusa.comlaude.net.
amazonchaussures.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonchaussures.moi.	172800	in	ns	nssui.comlaude.ch.
amazonchaussures.moi.	172800	in	ns	nsusa.comlaude.net.
amazonclothing.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonclothing.moi.	172800	in	ns	nssui.comlaude.ch.
amazonclothing.moi.	172800	in	ns	nsusa.comlaude.net.
amazoncloudcam.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoncloudcam.moi.	172800	in	ns	nssui.comlaude.ch.
amazoncloudcam.moi.	172800	in	ns	nsusa.comlaude.net.
amazoncosmos.moi.	172800	in	ns	ns1.amzndns.co.uk.
amazoncosmos.moi.	172800	in	ns	ns1.amzndns.com.
amazoncosmos.moi.	172800	in	ns	ns1.amzndns.net.
amazoncosmos.moi.	172800	in	ns	ns1.amzndns.org.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.co.uk.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.com.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.net.
amazoncosmos.moi.	172800	in	ns	ns2.amzndns.org.
amazoncuisine.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoncuisine.moi.	172800	in	ns	nssui.comlaude.ch.
amazoncuisine.moi.	172800	in	ns	nsusa.comlaude.net.
amazondashbutton.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazondashbutton.moi.	172800	in	ns	nssui.comlaude.ch.
amazondashbutton.moi.	172800	in	ns	nsusa.comlaude.net.
amazondrive.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazondrive.moi.	172800	in	ns	nssui.comlaude.ch.
amazondrive.moi.	172800	in	ns	nsusa.comlaude.net.
amazonechospot.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonechospot.moi.	172800	in	ns	nssui.comlaude.ch.
amazonechospot.moi.	172800	in	ns	nsusa.comlaude.net.
amazonfashion.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonfashion.moi.	172800	in	ns	nssui.comlaude.ch.
amazonfashion.moi.	172800	in	ns	nsusa.comlaude.net.
amazonfood.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonfood.moi.	172800	in	ns	nssui.comlaude.ch.
amazonfood.moi.	172800	in	ns	nsusa.comlaude.net.
amazongaming.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazongaming.moi.	172800	in	ns	nssui.comlaude.ch.
amazongaming.moi.	172800	in	ns	nsusa.comlaude.net.
amazongo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazongo.moi.	172800	in	ns	nssui.comlaude.ch.
amazongo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonhandmade.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonhandmade.moi.	172800	in	ns	nssui.comlaude.ch.
amazonhandmade.moi.	172800	in	ns	nsusa.comlaude.net.
amazoninspire.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazoninspire.moi.	172800	in	ns	nssui.comlaude.ch.
amazoninspire.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjeuxvideo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjeuxvideo.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjeuxvideo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjewelry.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjewelry.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjewelry.moi.	172800	in	ns	nsusa.comlaude.net.
amazonjouets.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonjouets.moi.	172800	in	ns	nssui.comlaude.ch.
amazonjouets.moi.	172800	in	ns	nsusa.comlaude.net.
amazonkey.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonkey.moi.	172800	in	ns	nssui.comlaude.ch.
amazonkey.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlaunchpad.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlaunchpad.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlaunchpad.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlivre.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlivre.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlivre.moi.	172800	in	ns	nsusa.comlaude.net.
amazonlivres.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonlivres.moi.	172800	in	ns	nssui.comlaude.ch.
amazonlivres.moi.	172800	in	ns	nsusa.comlaude.net.
amazonmaison.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonmaison.moi.	172800	in	ns	nssui.comlaude.ch.
amazonmaison.moi.	172800	in	ns	nsusa.comlaude.net.
amazonmusique.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonmusique.moi.	172800	in	ns	nssui.comlaude.ch.
amazonmusique.moi.	172800	in	ns	nsusa.comlaude.net.
amazonpantry.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonpantry.moi.	172800	in	ns	nssui.comlaude.ch.
amazonpantry.moi.	172800	in	ns	nsusa.comlaude.net.
amazonpay.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonpay.moi.	172800	in	ns	nssui.comlaude.ch.
amazonpay.moi.	172800	in	ns	nsusa.comlaude.net.
amazonprime.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonprime.moi.	172800	in	ns	nssui.comlaude.ch.
amazonprime.moi.	172800	in	ns	nsusa.comlaude.net.
amazonprimevideo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonprimevideo.moi.	172800	in	ns	nssui.comlaude.ch.
amazonprimevideo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonrapids.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonrapids.moi.	172800	in	ns	nssui.comlaude.ch.
amazonrapids.moi.	172800	in	ns	nsusa.comlaude.net.
amazonring.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonring.moi.	172800	in	ns	nssui.comlaude.ch.
amazonring.moi.	172800	in	ns	nsusa.comlaude.net.
amazonshoes.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonshoes.moi.	172800	in	ns	nssui.comlaude.ch.
amazonshoes.moi.	172800	in	ns	nsusa.comlaude.net.
amazonstore.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonstore.moi.	172800	in	ns	nssui.comlaude.ch.
amazonstore.moi.	172800	in	ns	nsusa.comlaude.net.
amazontld.moi.	172800	in	ns	ns-1060.awsdns-04.org.
amazontld.moi.	172800	in	ns	ns-1878.awsdns-42.co.uk.
amazontld.moi.	172800	in	ns	ns-201.awsdns-25.com.
amazontld.moi.	172800	in	ns	ns-694.awsdns-22.net.
amazontlds.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazontlds.moi.	172800	in	ns	nssui.comlaude.ch.
amazontlds.moi.	172800	in	ns	nsusa.comlaude.net.
amazontoy.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazontoy.moi.	172800	in	ns	nssui.comlaude.ch.
amazontoy.moi.	172800	in	ns	nsusa.comlaude.net.
amazontube.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazontube.moi.	172800	in	ns	nssui.comlaude.ch.
amazontube.moi.	172800	in	ns	nsusa.comlaude.net.
amazonvetements.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonvetements.moi.	172800	in	ns	nssui.comlaude.ch.
amazonvetements.moi.	172800	in	ns	nsusa.comlaude.net.
amazonvideo.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonvideo.moi.	172800	in	ns	nssui.comlaude.ch.
amazonvideo.moi.	172800	in	ns	nsusa.comlaude.net.
amazonvideodirect.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonvideodirect.moi.	172800	in	ns	nssui.comlaude.ch.
amazonvideodirect.moi.	172800	in	ns	nsusa.comlaude.net.
amazonvideogames.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonvideogames.moi.	172800	in	ns	nssui.comlaude.ch.
amazonvideogames.moi.	172800	in	ns	nsusa.comlaude.net.
amazonwatches.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
amazonwatches.moi.	172800	in	ns	nssui.comlaude.ch.
amazonwatches.moi.	172800	in	ns	nsusa.comlaude.net.
android.moi.	172800	in	ns	ns1.markmonitor.com.
android.moi.	172800	in	ns	ns2.markmonitor.com.
android.moi.	172800	in	ns	ns3.markmonitor.com.
android.moi.	172800	in	ns	ns4.markmonitor.com.
android.moi.	172800	in	ns	ns5.markmonitor.com.
android.moi.	172800	in	ns	ns6.markmonitor.com.
android.moi.	172800	in	ns	ns7.markmonitor.com.
ane.moi.	172800	in	ns	ns1.hover.com.
ane.moi.	172800	in	ns	ns2.hover.com.
anski.moi.	172800	in	ns	amber.ns.cloudflare.com.
anski.moi.	172800	in	ns	piotr.ns.cloudflare.com.
appelle.moi.	172800	in	ns	donna.ns.cloudflare.com.
appelle.moi.	172800	in	ns	noah.ns.cloudflare.com.
apple.moi.	172800	in	ns	a.ns.apple.com.
apple.moi.	172800	in	ns	b.ns.apple.com.
apple.moi.	172800	in	ns	c.ns.apple.com.
apple.moi.	172800	in	ns	d.ns.apple.com.
apps.moi.	172800	in	ns	melissa.ns.cloudflare.com.
apps.moi.	172800	in	ns	nitin.ns.cloudflare.com.
arch.moi.	172800	in	ns	ns1.leenr.net.
arch.moi.	172800	in	ns	ns2.leenr.net.
arena.moi.	172800	in	ns	ns1.101domain.com.
arena.moi.	172800	in	ns	ns2.101domain.com.
arsi-test2-jan11.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
arsi-test2-jan11.moi.	172800	in	ns	nssui.comlaude.ch.
arsi-test2-jan11.moi.	172800	in	ns	nsusa.comlaude.net.
athena.moi.	172800	in	ns	1-you.njalla.no.
athena.moi.	172800	in	ns	2-can.njalla.in.
athena.moi.	172800	in	ns	3-get.njalla.fo.
attends.moi.	172800	in	ns	donna.ns.cloudflare.com.
attends.moi.	172800	in	ns	noah.ns.cloudflare.com.
audible.moi.	172800	in	ns	dns1.comlaude-dns.com.
audible.moi.	172800	in	ns	dns2.comlaude-dns.net.
audible.moi.	172800	in	ns	dns3.comlaude-dns.co.uk.
audible.moi.	172800	in	ns	dns4.comlaude-dns.eu.
auth.moi.	172800	in	ns	ns1045.ui-dns.biz.
auth.moi.	172800	in	ns	ns1045.ui-dns.com.
auth.moi.	172800	in	ns	ns1045.ui-dns.de.
auth.moi.	172800	in	ns	ns1045.ui-dns.org.
autourde.moi.	172800	in	ns	ns1.serverhostgroup.com.
autourde.moi.	172800	in	ns	ns2.serverhostgroup.com.
autourde.moi.	172800	in	ns	ns3.serverhostgroup.com.
avec.moi.	172800	in	ns	aliza.ns.cloudflare.com.
avec.moi.	172800	in	ns	fred.ns.cloudflare.com.
avis.moi.	172800	in	ns	sneh.ns.cloudflare.com.
avis.moi.	172800	in	ns	sonny.ns.cloudflare.com.
aws.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
aws.moi.	172800	in	ns	nssui.comlaude.ch.
aws.moi.	172800	in	ns	nsusa.comlaude.net.
b.ns.dudu.moi.	172800	in	a	185.136.97.77
b.ns.dudu.moi.	172800	in	aaaa	2a06:fb00:0001:0000:0000:0000:0002:0077
b52.moi.	172800	in	ns	ns1.101domain.com.
b52.moi.	172800	in	ns	ns2.101domain.com.
b52club.moi.	172800	in	ns	hank.ns.cloudflare.com.
b52club.moi.	172800	in	ns	sky.ns.cloudflare.com.
b52win.moi.	172800	in	ns	ns1.101domain.com.
b52win.moi.	172800	in	ns	ns2.101domain.com.
baguette.moi.	172800	in	ns	ns1.hover.com.
baguette.moi.	172800	in	ns	ns2.hover.com.
bainsey.moi.	172800	in	ns	curitiba.ns.porkbun.com.
bainsey.moi.	172800	in	ns	fortaleza.ns.porkbun.com.
bainsey.moi.	172800	in	ns	maceio.ns.porkbun.com.
bainsey.moi.	172800	in	ns	salvador.ns.porkbun.com.
bao.moi.	172800	in	ns	ns1.101domain.com.
bao.moi.	172800	in	ns	ns2.101domain.com.
beone.moi.	172800	in	ns	ns1.101domain.com.
beone.moi.	172800	in	ns	ns2.101domain.com.
bet.moi.	172800	in	ns	ns1.101domain.com.
bet.moi.	172800	in	ns	ns2.101domain.com.
bet365.moi.	172800	in	ns	1-you.njalla.no.
bet365.moi.	172800	in	ns	2-can.njalla.in.
bet365.moi.	172800	in	ns	3-get.njalla.fo.
bet88.moi.	172800	in	ns	celine.ns.cloudflare.com.
bet88.moi.	172800	in	ns	julian.ns.cloudflare.com.
bflix.moi.	172800	in	ns	mario.ns.cloudflare.com.
bflix.moi.	172800	in	ns	molly.ns.cloudflare.com.
bienvenue.moi.	172800	in	ns	ns1.amzndns.co.uk.
bienvenue.moi.	172800	in	ns	ns1.amzndns.com.
bienvenue.moi.	172800	in	ns	ns1.amzndns.net.
bienvenue.moi.	172800	in	ns	ns1.amzndns.org.
bienvenue.moi.	172800	in	ns	ns2.amzndns.co.uk.
bienvenue.moi.	172800	in	ns	ns2.amzndns.com.
bienvenue.moi.	172800	in	ns	ns2.amzndns.net.
bienvenue.moi.	172800	in	ns	ns2.amzndns.org.
bitcoin.moi.	172800	in	ns	1-you.njalla.no.
bitcoin.moi.	172800	in	ns	2-can.njalla.in.
bitcoin.moi.	172800	in	ns	3-get.njalla.fo.
bj88.moi.	172800	in	ns	ganz.ns.cloudflare.com.
bj88.moi.	172800	in	ns	marissa.ns.cloudflare.com.
bloom.moi.	172800	in	ns	ns-177-c.gandi.net.
bloom.moi.	172800	in	ns	ns-35-b.gandi.net.
bloom.moi.	172800	in	ns	ns-46-a.gandi.net.
bmw.moi.	172800	in	ns	ns1.brandshelter.com.
bmw.moi.	172800	in	ns	ns2.brandshelter.de.
bmw.moi.	172800	in	ns	ns3.brandshelter.info.
bmw.moi.	172800	in	ns	ns4.brandshelter.net.
bmw.moi.	172800	in	ns	ns5.brandshelter.us.
bolly4u.moi.	172800	in	ns	kaiser.ns.cloudflare.com.
bolly4u.moi.	172800	in	ns	roxy.ns.cloudflare.com.
bollyflix.moi.	172800	in	ns	love.ns.cloudflare.com.
bollyflix.moi.	172800	in	ns	thaddeus.ns.cloudflare.com.
bom.moi.	172800	in	ns	ns1.101domain.com.
bom.moi.	172800	in	ns	ns2.101domain.com.
bong.moi.	172800	in	ns	ns1.101domain.com.
bong.moi.	172800	in	ns	ns2.101domain.com.
bong88.moi.	172800	in	ns	ns1.101domain.com.
bong88.moi.	172800	in	ns	ns2.101domain.com.
bong99.moi.	172800	in	ns	ns1.101domain.com.
bong99.moi.	172800	in	ns	ns2.101domain.com.
bongdalu.moi.	172800	in	ns	decker.ns.cloudflare.com.
bongdalu.moi.	172800	in	ns	desi.ns.cloudflare.com.
bookdepository.moi.	172800	in	ns	nsgbr.comlaude.co.uk.
bookdepository.moi.	172800	in	ns	nssui.comlaude.ch.
bookdepository.moi.	172800	in	ns	nsusa.comlaude.net.
boost.moi.	172800	in	ns	emma.ns.cloudflare.com.
